name,id
Jeffrey Cuthbert,4bb53c5a-0197-44ab-98ee-296b2bff3868
Jenny Randerson,b5d68df4-eb41-4b57-95de-86fa18cb798b
"Jenny Randerson, Baroness Randerson",b5d68df4-eb41-4b57-95de-86fa18cb798b
Jenny Rathbone,fd29b7cf-ca3b-4960-80f1-91c7ad2809df
Jenny Rathbone MS,fd29b7cf-ca3b-4960-80f1-91c7ad2809df
Jeremy Miles,4656e912-817a-4814-91fa-d63cc963303a
Jeremy Miles MS,4656e912-817a-4814-91fa-d63cc963303a
Jocelyn Davies,31adc697-9e5c-48f0-bee6-c7d3b8c1b8a0
Joel James,fbfce4de-0567-4d78-9d58-6e5831d9e271
Joel James MS,fbfce4de-0567-4d78-9d58-6e5831d9e271
John Griffiths,6479d91e-a46e-48c8-8345-09864655f76f
John Griffiths MS,6479d91e-a46e-48c8-8345-09864655f76f
John Marek,4afb494e-e3af-4fec-aa9a-3a33010be459
Jonathan Morgan,df99ca73-0060-4c05-8937-967854ef90c0
Joyce Watson,4874f776-d3de-47e6-a7c6-310d6094ce1a
Joyce Watson MS,4874f776-d3de-47e6-a7c6-310d6094ce1a
Julie James,62bb8346-df8f-44b4-bac3-b0fc3ebe4b9c
Julie James MS,62bb8346-df8f-44b4-bac3-b0fc3ebe4b9c
Julie Morgan,1d2c8e4c-6dd2-4991-99a9-6030ef37a879
Julie Morgan MS,1d2c8e4c-6dd2-4991-99a9-6030ef37a879
Julie Morganová,1d2c8e4c-6dd2-4991-99a9-6030ef37a879
Karen Sinclair,7c90f1c2-5a6d-4289-9dd8-af65667b5d87
Keith Davies,f22fbc6f-893e-4810-8fdb-bdc80d0e38c0
Ken Skates,54bf56c5-f61f-4827-9fe3-5d49650bbf59
Ken Skates MS,54bf56c5-f61f-4827-9fe3-5d49650bbf59
Kirsty Williams,4f3c08a4-e462-40cb-9a07-bb00017c38e8
Laura Anne Jones,c8b1b17a-0683-4b54-8548-6c99e529f4c5
Laura Anne Jones MS,c8b1b17a-0683-4b54-8548-6c99e529f4c5
Laura Jones,c8b1b17a-0683-4b54-8548-6c99e529f4c5
Leanne Wood,247536cc-f93c-4eb6-81df-4ed15e7a75f3
Leanne Woodová,247536cc-f93c-4eb6-81df-4ed15e7a75f3
Lee Waters,34594394-8bb7-47b9-9679-f4c984e76ec9
Lee Waters MS,34594394-8bb7-47b9-9679-f4c984e76ec9
Leighton Andrews,06c837dd-18e5-400d-9cd9-bec7b16076a3
Lesley Griffiths,3396369e-5e6b-4c2b-99ee-0c7f3cce0018
Lesley Griffiths MS,3396369e-5e6b-4c2b-99ee-0c7f3cce0018
Lian Vud,247536cc-f93c-4eb6-81df-4ed15e7a75f3
Lindsay Whittle,e3002276-fb13-441c-94c4-c7b3b1f1c9f8
Lisa Francis,595a002f-f638-4ed3-b697-7043c57b84a9
Llyr Gruffydd,0c9cf09f-a09c-47f9-a641-6d0dbb23110c
Llyr Gruffydd MS,0c9cf09f-a09c-47f9-a641-6d0dbb23110c
Llyr Huws Gruffydd,0c9cf09f-a09c-47f9-a641-6d0dbb23110c
Lorraine Barrett,add89dc6-8f9d-4f38-8329-8963c6598e80
Luke Fletcher,78ba6dde-bb34-44a6-b63b-643605d0a960
Luke Fletcher MS,78ba6dde-bb34-44a6-b63b-643605d0a960
Lynne Neagle,761c8a03-f1cc-42a7-ba72-e6f34a82888a
Lynne Neagle MS,761c8a03-f1cc-42a7-ba72-e6f34a82888a
Mabon ap Gwynfor,b9733257-c8d8-4be5-95bd-7690283acc54
Mabon ap Gwynfor MS,b9733257-c8d8-4be5-95bd-7690283acc54
Mandy Jones,7416afa6-81d8-40a7-b95e-249dae69997e
Marcus Drakeford,7c8ff158-c8b9-4d53-8b7b-0b368a709949
Mark Drakeford,7c8ff158-c8b9-4d53-8b7b-0b368a709949
Mark Drakeford MS,7c8ff158-c8b9-4d53-8b7b-0b368a709949
Mark Isherwood,3a441cf2-fe19-442f-8b15-e544b8b8dc09
Mark Isherwood MS,3a441cf2-fe19-442f-8b15-e544b8b8dc09
Mark Reckless,1bf1a090-aa1f-4779-a667-d95b4981fc2d
Marks Dreikfords,7c8ff158-c8b9-4d53-8b7b-0b368a709949
"Michael German, Baron German",ea97327c-1146-4153-a8bb-3f3a5490687c
Michelle Brown,fd91a991-b76f-4094-bf57-b49c60b797fb
Mick Antoniw,bb5b9df3-9e91-4a73-87be-22788ebe01cb
Mick Antoniw MS,bb5b9df3-9e91-4a73-87be-22788ebe01cb
Mick Bates,295ba251-05e3-4b59-98c0-b761f4dd0db2
Mike German,ea97327c-1146-4153-a8bb-3f3a5490687c
"Mike German, Baron German",ea97327c-1146-4153-a8bb-3f3a5490687c
Mike Hedges,156c204a-9f5d-45dc-9d93-98eba05c5add
Mike Hedges MS,156c204a-9f5d-45dc-9d93-98eba05c5add
Mohammad Asghar,752f3f2b-6d09-4128-9111-7bc26ce14e06
Natasha Asghar,8955cf76-ec15-48d2-a31d-8a0932d1569a
Natasha Asghar MS,8955cf76-ec15-48d2-a31d-8a0932d1569a
Nathan Gill,451236de-0f5e-448b-a11c-7923bd704fb8
Nathan Lee Gill,451236de-0f5e-448b-a11c-7923bd704fb8
Neil Hamilton,add634e1-5bf2-4d5f-9b5a-d539644f2354
Neil McEvoy,6ea66d0e-77e6-42b0-9e22-f71d00ea9f44
Nerys Evans,2edbae7b-8698-4398-9877-91eac08fced5
Nick Bourne,890e0350-3d39-4b32-acfb-0618d6824ffb
Nick Ramsay,d42eb5d3-caae-437e-ac53-a33eb6a11ee6
Oscar,752f3f2b-6d09-4128-9111-7bc26ce14e06
Owen John Thomas,53521645-fe71-4feb-9fee-421004376137
Paul Davies,627b2521-6923-48b8-b2d4-48a673d1b824
Paul Davies MS,627b2521-6923-48b8-b2d4-48a673d1b824
Pauline Jarman,dc84cd46-de2c-4b1f-aad0-4f89e9697cb0
Peredur Owen Griffiths,7e257362-e600-4d24-a177-495fa61c7aec
Peredur Owen Griffiths MS,7e257362-e600-4d24-a177-495fa61c7aec
Peter Black,77cd0ece-0e26-4498-9a60-c6d2ea3973a3
